title,type,episodes,rating,score,rank,popularity,members,favorites,premiered,studio,genre
Kuroko no Basket 2nd Season,TV,25,PG-13 - Teens 13 or older,8.49,109.0,153,351815,3575,Fall 2013,Production I.G,"Comedy, Sports, Shounen"
Shingeki no Kyojin,TV,25,R - 17+ (violence & profanity),8.49,110.0,2,1345842,64032,Spring 2013,Wit Studio,"Action, Mystery, Drama, Fantasy, Shounen"
Shinsekai yori,TV,25,R - 17+ (violence & profanity),8.49,111.0,114,409878,16486,Fall 2012,A-1 Pictures,"Sci-Fi, Mystery, Horror, Psychological, Drama"
Houseki no Kuni (TV),TV,12,PG-13 - Teens 13 or older,8.48,112.0,651,129354,2995,Fall 2017,Orange,"Action, Mystery, Drama, Fantasy, Seinen"
Neon Genesis Evangelion: The End of Evangelion,Movie,1,R+ - Mild Nudity,8.48,113.0,216,295923,8159,,"Gainax, Production I.G","Sci-Fi, Psychological, Drama, Mecha"
Yuu☆Yuu☆Hakusho,TV,112,PG-13 - Teens 13 or older,8.48,114.0,246,272713,10968,Fall 1992,Studio Pierrot,"Action, Comedy, Shounen"
Barakamon,TV,12,PG-13 - Teens 13 or older,8.47,115.0,176,327825,7379,Summer 2014,Kinema Citrus,"Comedy, Slice of Life"
Chihayafuru 2,TV,25,PG-13 - Teens 13 or older,8.47,116.0,757,114340,1116,Winter 2013,Madhouse,"Drama, Josei, Slice of Life, Sports"
Detective Conan: Episode One - The Great Detective Turned Small,Special,1,PG-13 - Teens 13 or older,8.47,117.0,3629,10341,36,,TMS Entertainment,"Adventure, Mystery, Comedy, Shounen"
Fate/stay night Movie: Heaven&#039;s Feel - I. Presage Flower,Movie,1,R - 17+ (violence & profanity),8.47,118.0,853,103970,694,,ufotable,"Action, Fantasy"
Hunter x Hunter,TV,62,PG-13 - Teens 13 or older,8.47,118.0,310,229341,5933,Fall 1999,Nippon Animation,"Action, Adventure, Shounen"
Kaze no Tani no Nausicaä,Movie,1,PG-13 - Teens 13 or older,8.47,120.0,407,188165,2525,,"Studio Ghibli, Studio Hibari","Adventure, Fantasy"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,PG-13 - Teens 13 or older,8.47,120.0,403,189081,4922,,Shaft,"Psychological, Drama, Thriller"
Natsume Yuujinchou Roku Specials,Special,2,PG-13 - Teens 13 or older,8.47,122.0,3294,13105,22,,Shuka,"Slice of Life, Drama, Fantasy, Shoujo"
Shingeki no Kyojin Season 2,TV,12,R - 17+ (violence & profanity),8.47,123.0,46,649713,7435,Spring 2017,Wit Studio,"Action, Mystery, Drama, Fantasy, Shounen"
